NCE,NUME_CE,NSV,SVSPEC,ADRESA,NUME_L,SIRUTA,TIP_L,MEDIU_L,A_SVD,AIP_SVD,AIS_SVD,AP_SVD,APP_SV,APS1_SV,APS2_SV,TVE_SV,VN_SV,BVP_SV,BVN_SV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65
26,MARAMURES,0,0,,,0,,0,426490,418481,8009,215524,198499,7908,9117,205211,10105,463624,247922,0,54445,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,796,0,892,710,0,0,0,0,0,1611,2639,0,0,1611,0,5768,0,3616,0,0,34192,0,0,1103,1517,0,0,0,2387,0,0,0,0,0,0,0,18624,0,0,73896,771,0,0,0,0
27,MEHEDINTI,0,0,,,0,,0,254071,245952,8119,145002,125869,7700,11433,137264,7605,277152,132181,0,37715,274,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,935,535,0,0,0,0,0,751,630,388,1184,355,0,2253,0,4043,0,0,25154,0,395,0,645,399,0,0,793,0,0,0,0,0,0,0,360,0,0,59182,270,0,0,0,0
28,MURES,0,0,,,0,,0,488760,478005,10755,294953,268704,10639,15610,281003,13886,541782,246840,0,46861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,697,0,0,0,0,0,1700,1009,654,1637,929,0,2264,0,5987,0,0,40855,0,525,904,546,1093,0,0,0,0,0,0,0,0,0,0,106863,0,0,65640,976,0,0,0,0
29,NEAMT,0,0,,,0,,0,482692,465050,17642,272199,244070,17522,10607,254023,17978,503430,231367,0,82681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,908,0,757,0,841,1433,0,0,0,0,0,3793,2864,0,0,860,0,2221,0,5097,0,0,34406,0,1136,1846,6157,0,0,0,1379,0,0,0,0,0,0,0,667,0,0,105301,1676,0,0,0,0
30,OLT,0,0,,,0,,0,408076,394198,13878,237691,208581,13398,15712,223485,14181,435782,198106,0,54345,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,836,487,0,0,0,0,0,1170,1345,532,0,280,0,2584,1085,4967,0,0,39824,0,211,0,1205,487,0,0,700,0,0,0,0,0,0,0,315,0,0,112028,487,0,0,0,0
31,PRAHOVA,0,0,,,0,,0,696845,679260,17585,413961,373233,17585,23143,393997,19500,760687,344727,0,146343,1313,1884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,977,0,1069,574,0,0,0,0,0,2679,8105,1073,4763,916,0,4523,1531,10406,0,0,56786,0,1359,3477,2091,0,0,0,3088,0,0,0,0,0,0,0,748,0,0,139604,688,0,0,0,0
32,SATU MARE,0,0,,,0,,0,318871,306756,12115,154431,134285,11893,8253,146781,7617,348269,193863,0,29921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,537,302,0,0,0,0,0,912,696,478,0,0,0,2550,694,2477,0,0,9827,0,0,908,853,0,0,0,1003,0,0,0,0,0,0,0,51765,0,0,43084,367,0,0,0,0
33,SALAJ,0,0,,,0,,0,202176,201087,1089,119695,108103,1089,10503,114134,5542,222687,102960,0,26295,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,249,0,0,0,0,0,775,771,0,1204,0,0,3883,0,2886,0,0,11135,0,295,0,634,0,0,0,0,0,0,0,0,0,0,0,26979,0,0,37661,428,0,0,0,0
34,SIBIU,0,0,,,0,,0,369495,362113,7382,217876,195371,7163,15342,208087,9335,412698,194961,11107,86426,1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,1537,398,0,0,0,0,0,3304,2324,508,0,0,0,3474,0,5885,0,0,21191,0,548,828,1183,866,0,0,1655,0,0,0,0,0,0,0,5636,0,0,58588,831,0,0,0,0
35,SUCEAVA,0,0,,,0,,0,562215,546586,15629,334716,303114,15239,16363,315291,19307,609706,273996,0,117608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,736,0,1361,1138,0,0,0,0,0,3225,3632,594,0,1628,0,4139,1069,4975,0,0,35663,0,450,653,734,901,0,0,1806,0,0,0,0,0,0,0,671,0,0,131397,2911,0,0,0,0
36,TELEORMAN,0,0,,,0,,0,377136,359716,17420,237821,205782,17249,14790,222626,15165,400265,162391,0,58502,0,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,745,629,0,0,0,0,0,1013,990,329,0,260,0,1352,0,3475,0,0,30462,0,353,861,1371,308,0,0,755,0,0,0,0,0,0,0,280,0,0,118999,332,0,0,0,0
37,TIMIS,0,0,,,0,,0,596137,576022,20115,332411,280715,19430,32266,319143,13218,665352,332985,0,118104,891,2165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,638,0,819,676,0,0,0,0,0,3164,2993,697,1498,3120,0,37887,0,4416,0,0,32736,0,784,0,1989,1027,0,0,1951,0,0,0,0,0,0,0,16217,0,0,86192,1179,0,0,0,0
38,TULCEA,0,0,,,0,,0,209159,205292,3867,122303,109058,3599,9646,114633,7572,226959,104715,0,35709,0,762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,683,406,0,0,0,0,0,751,807,0,742,0,0,1338,0,3809,0,0,22648,0,543,836,2084,0,0,0,1050,0,0,0,0,0,0,0,253,0,0,41622,590,0,0,0,0
39,VASLUI,0,0,,,0,,0,380252,363914,16338,223136,197537,16258,9341,205738,17315,402849,179563,0,50746,0,1883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,816,848,0,0,0,0,0,951,1419,484,1467,466,0,1581,1334,10232,0,0,24595,0,780,1740,1395,0,0,0,0,0,0,0,0,0,0,0,511,0,0,103063,747,0,0,0,0
40,VALCEA,0,0,,,0,,0,356076,338111,17965,212951,183649,16844,12458,197135,15725,384134,170968,0,57759,0,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,0,0,0,1417,1606,0,0,0,0,0,1216,1585,370,1780,494,0,2217,0,3339,0,0,29165,0,636,2002,813,496,0,0,1730,0,0,0,0,0,0,0,507,0,0,88581,599,0,0,0,0
41,VRANCEA,0,0,,,0,,0,324577,312459,12118,193893,169157,12118,12618,180277,13572,359175,165079,0,54484,501,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582,0,344,800,0,0,0,0,0,1805,984,434,1020,0,0,1517,0,2680,0,0,20601,0,431,2098,1552,0,0,0,0,0,0,0,0,0,0,0,437,0,0,88695,722,0,0,0,0
42,MUNICIPIUL BUCURESTI,0,0,,,0,,0,1791956,1738140,53816,1070610,918510,51628,100472,1049821,19174,2116429,1045497,0,491810,1412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2312,0,4013,1669,0,0,0,0,0,6015,17680,920,4066,2918,0,25568,1955,27293,0,2167,119138,0,2112,1127,1083,1816,0,0,1948,0,0,0,0,0,0,0,13117,0,0,316798,2884,0,0,0,0
